,carrier,p_nom,bus,yearcommissioned,retrofit,year_removed
DE0 12 offwind-ac,offwind-ac,224.25,DE0 12,,,2044.0
DE0 12 offwind-dc,offwind-dc,242.71,DE0 12,,,2044.0
DE0 12 onwind,onwind,75.06,DE0 12,,,2044.0
DE0 12 solar,solar,254.849548,DE0 12,,,2044.0
DE0 13 onwind,onwind,7.1015,DE0 13,,,2044.0
DE0 13 solar,solar,335.871332,DE0 13,,,2044.0
DE0 14 onwind,onwind,34.55,DE0 14,,,2044.0
DE0 14 solar,solar,155.485761,DE0 14,,,2044.0
DE0 15 solar,solar,97.862031,DE0 15,,,2044.0
DE0 2 offwind-ac,offwind-ac,116.26,DE0 2,,,2044.0
DE0 2 offwind-dc,offwind-dc,93.26,DE0 2,,,2044.0
DE0 2 onwind,onwind,96.6615,DE0 2,,,2044.0
DE0 2 solar,solar,158.391627,DE0 2,,,2044.0
DE0 3 onwind,onwind,32.5,DE0 3,,,2044.0
DE0 3 solar,solar,140.2411305,DE0 3,,,2044.0
DE0 4 onwind,onwind,115.816,DE0 4,,,2044.0
DE0 4 solar,solar,285.443259,DE0 4,,,2044.0
DE0 5 onwind,onwind,0.0008,DE0 5,,,2044.0
DE0 5 solar,solar,84.146089,DE0 5,,,2044.0
DE0 6 onwind,onwind,3.3,DE0 6,,,2044.0
DE0 6 solar,solar,158.156818,DE0 6,,,2044.0
DE0 7 onwind,onwind,37.5308,DE0 7,,,2044.0
DE0 7 solar,solar,214.917679,DE0 7,,,2044.0
DE0 8 onwind,onwind,13.95,DE0 8,,,2044.0
DE0 8 solar,solar,282.85173100000003,DE0 8,,,2044.0
DE0 9 onwind,onwind,64.60000000000001,DE0 9,,,2044.0
DE0 9 solar,solar,182.469709,DE0 9,,,2044.0
DE0 0 onwind,onwind,10.25,DE0 0,,,2043.0
DE0 0 solar,solar,181.550153,DE0 0,,,2043.0
DE0 1 onwind,onwind,163.431,DE0 1,,,2043.0
DE0 1 solar,solar,152.417079,DE0 1,,,2043.0
DE0 10 onwind,onwind,159.375,DE0 10,,,2043.0
DE0 10 solar,solar,70.044363,DE0 10,,,2043.0
DE0 11 onwind,onwind,292.625,DE0 11,,,2043.0
DE0 11 solar,solar,373.784988,DE0 11,,,2043.0
DE0 12 offwind-ac,offwind-ac,329.6,DE0 12,,,2043.0
DE0 12 offwind-dc,offwind-dc,273.5,DE0 12,,,2043.0
DE0 12 onwind,onwind,625.9798000000001,DE0 12,,,2043.0
DE0 12 solar,solar,154.371976,DE0 12,,,2043.0
DE0 13 onwind,onwind,7.202,DE0 13,,,2043.0
DE0 13 solar,solar,298.731506,DE0 13,,,2043.0
DE0 14 onwind,onwind,257.48,DE0 14,,,2043.0
DE0 14 solar,solar,102.904146,DE0 14,,,2043.0
DE0 15 onwind,onwind,18.685,DE0 15,,,2043.0
DE0 15 solar,solar,75.420831,DE0 15,,,2043.0
DE0 2 offwind-ac,offwind-ac,163.79999999999998,DE0 2,,,2043.0
DE0 2 offwind-dc,offwind-dc,207.9,DE0 2,,,2043.0
DE0 2 onwind,onwind,228.6082,DE0 2,,,2043.0
DE0 2 solar,solar,164.61583,DE0 2,,,2043.0
DE0 3 onwind,onwind,116.1024,DE0 3,,,2043.0
DE0 3 solar,solar,126.388426,DE0 3,,,2043.0
DE0 4 onwind,onwind,122.365,DE0 4,,,2043.0
